inst,J,best_cost,avg_bestK,ref_min,ref_avg,gap_min(%),gap_avg(%),timeout(s),actual_time(s),iterations
wlp01,50,32833,33615.3,34377.0,34377.0,-4.49,-2.22,176.8,177.5,1550
wlp02,100,61760,62533.7,60055.0,60347.9,2.84,3.62,250.0,252.6,581
wlp03,150,76223,76709.6,73064.0,73677.8,4.32,4.11,306.2,308.8,383
wlp04,200,100264,101054.8,97624.0,98247.5,2.7,2.86,353.6,360.2,245
wlp05,250,122293,123457.3,116841.0,117319.3,4.67,5.23,395.3,405.4,189
wlp06,300,132483,133416.2,126802.0,127334.7,4.48,4.78,433.0,453.0,120
wlp07,400,191203,192649.2,183445.0,183797.8,4.23,4.82,500.0,548.2,49
wlp08,500,220979,223141.4,211885.0,212515.1,4.29,5.0,559.0,658.0,32
wlp09,600,255582,257822.3,245345.0,245922.1,4.17,4.84,612.4,731.7,36
wlp10,700,287325,288809.0,274494.0,275508.5,4.67,4.83,661.4,915.5,24
wlp11,800,334301,338798.5,321833.0,322804.4,3.87,4.95,707.1,882.1,20
wlp12,900,348353,350274.6,332666.0,333412.6,4.72,5.06,750.0,1214.6,20
wlp13,1000,368532,371703.6,349548.0,350811.3,5.43,5.96,790.6,879.9,10
wlp14,1200,459020,461973.3,436583.0,438183.4,5.14,5.43,866.0,1541.1,10
wlp15,1400,528559,532283.7,502617.0,504380.3,5.16,5.53,935.4,2704.6,10
wlp16,1600,610373,614253.8,580481.0,581807.7,5.15,5.58,1000.0,4008.0,10
