inst,J,algorithm,rank_cutoff_X,best_cost,avg_bestK,ref_min,ref_avg,gap_min(%),gap_avg(%),timeout(s),actual_time(s),iterations,iter_per_sec
wlp01,50,effective,,33204,33604.1,34377.0,34377.0,-3.41,-2.25,176.8,177.2,2108,11.9
wlp01,50,multifacility,,49957.0,50469.5,34377.0,34377.0,45.32,46.81,176.8,176.9,7554,42.7
wlp01,50,extended_rank,0.15,36965.0,37126.2,34377.0,34377.0,7.53,8.0,176.8,177.0,4337,24.5
wlp02,100,effective,,60499,62360.1,60055.0,60347.9,0.74,3.33,250.0,252.1,599,2.4
wlp02,100,multifacility,,88672.0,89410.1,60055.0,60347.9,47.65,48.16,250.0,250.6,2432,9.7
wlp02,100,extended_rank,0.15,69217.0,69625.5,60055.0,60347.9,15.26,15.37,250.0,251.0,1391,5.5
wlp03,150,effective,,75919,76746.5,73064.0,73677.8,3.91,4.17,306.2,311.4,424,1.4
wlp03,150,multifacility,,104110.0,104612.6,73064.0,73677.8,42.49,41.99,306.2,307.4,1590,5.2
wlp03,150,extended_rank,0.15,81291.0,82165.4,73064.0,73677.8,11.26,11.52,306.2,307.9,900,2.9
wlp04,200,effective,,99719,100834.3,97624.0,98247.5,2.15,2.63,353.6,362.7,202,0.6
wlp04,200,multifacility,,131827.0,133184.2,97624.0,98247.5,35.04,35.56,353.6,355.7,865,2.4
wlp04,200,extended_rank,0.15,102936.0,103730.8,97624.0,98247.5,5.44,5.58,353.6,355.9,579,1.6
wlp05,250,effective,,122341,123572.7,116841.0,117319.3,4.71,5.33,395.3,412.9,147,0.4
wlp05,250,multifacility,,151579.0,153325.9,116841.0,117319.3,29.73,30.69,395.3,397.9,705,1.8
wlp05,250,extended_rank,0.15,126517.0,127471.8,116841.0,117319.3,8.28,8.65,395.3,400.8,440,1.1
wlp06,300,effective,,132572,133491.5,126802.0,127334.7,4.55,4.84,433.0,459.6,99,0.2
wlp06,300,multifacility,,167142.0,168096.3,126802.0,127334.7,31.81,32.01,433.0,438.7,530,1.2
wlp06,300,extended_rank,0.15,135438.0,137183.8,126802.0,127334.7,6.81,7.73,433.0,440.6,327,0.7
wlp07,400,effective,,191722,192673.0,183445.0,183797.8,4.51,4.83,500.0,533.2,46,0.1
wlp07,400,multifacility,,231786.0,233223.6,183445.0,183797.8,26.35,26.89,500.0,510.5,320,0.6
wlp07,400,extended_rank,0.15,201010.0,203268.0,183445.0,183797.8,9.58,10.59,500.0,510.4,231,0.5
wlp08,500,effective,,222344,223015.9,211885.0,212515.1,4.94,4.94,559.0,720.1,33,0.0
wlp08,500,multifacility,,275390.0,276321.7,211885.0,212515.1,29.97,30.02,559.0,572.7,216,0.4
wlp08,500,extended_rank,0.15,240506.0,242049.9,211885.0,212515.1,13.51,13.9,559.0,574.1,151,0.3
