Instance,Metric,Reference,Global Eff.,Multi Fac.,Ext. AOC (1),Ext. Trans (2),Ext. Top5 (3)
wlp01,Best Cost,34377.0,33334,47668.0,37477.0,39577.0,37571.0
wlp01,Avg Cost,34377.0,33689.2,47989.9,37762.6,40038.8,37711.7
wlp01,Iterations,-,1947,16424,8210,7912,7717

wlp02,Best Cost,60055.0,61420,83276.0,69975.0,80509.0,65169.0
wlp02,Avg Cost,60347.9,62221.7,83724.2,71419.8,81541.5,65764.2
wlp02,Iterations,-,412,3569,2018,2023,2128

wlp03,Best Cost,73064.0,76084,96358.0,82185.0,100495.0,78422.0
wlp03,Avg Cost,73677.8,77021.4,97391.9,83201.2,101464.6,78866.8
wlp03,Iterations,-,201,1875,1080,1080,1067

wlp04,Best Cost,97624.0,101758,124557.0,104705.0,151117.0,107126.0
wlp04,Avg Cost,98247.5,102194.0,125109.1,105337.4,151580.3,108248.8
wlp04,Iterations,-,83,938,593,602,563

wlp05,Best Cost,116841.0,123028,144373.0,127226.0,172797.0,130475.0
wlp05,Avg Cost,117319.3,124344.1,144913.9,128355.1,173665.7,131758.1
wlp05,Iterations,-,53,600,382,389,376

wlp06,Best Cost,126802.0,132902,155925.0,138226.0,207323.0,138317.0
wlp06,Avg Cost,127334.7,134219.8,156825.4,139043.3,208081.3,139275.6
wlp06,Iterations,-,25,316,265,259,273

wlp07,Best Cost,183445.0,192658,219339.0,205490.0,288287.0,198373.0
wlp07,Avg Cost,183797.8,195126.3,220421.5,206410.1,289281.1,199338.0
wlp07,Iterations,-,12,191,137,138,137

wlp08,Best Cost,211885.0,224573,261650.0,247423.0,394500.0,242371.0
wlp08,Avg Cost,212515.1,226774.25,262234.0,248121.9,395564.1,244030.7
wlp08,Iterations,-,8,119,88,86,87

wlp09,Best Cost,245345.0,259480,298352.0,274211.0,439358.0,268583.0
wlp09,Avg Cost,245922.1,260201.66666666666,300033.9,276658.5,440278.6,272654.3
wlp09,Iterations,-,6,84,67,67,67

wlp10,Best Cost,274494.0,289104,333459.0,303946.0,519691.0,302368.0
wlp10,Avg Cost,275508.5,290070.75,334456.6,305310.3,520947.9,303711.2
wlp10,Iterations,-,4,60,48,46,46

wlp11,Best Cost,321833.0,339726,375934.0,356604.0,615964.0,355882.0
wlp11,Avg Cost,322804.4,341046.5,377017.6,358023.5,618157.4,356644.6
wlp11,Iterations,-,2,39,35,35,35

wlp12,Best Cost,332666.0,349526,400916.0,364727.0,649765.0,362716.0
wlp12,Avg Cost,333412.6,350829.5,403487.3,366647.0,651077.4,364932.4
wlp12,Iterations,-,2,30,29,29,29

wlp13,Best Cost,349548.0,367673,451154.0,389996.0,694733.0,389250.0
wlp13,Avg Cost,350811.3,368029.0,452471.5,393817.7,697675.6,393062.4
wlp13,Iterations,-,2,25,24,25,25

wlp14,Best Cost,436583.0,465722,503580.0,471269.0,872694.0,472139.0
wlp14,Avg Cost,438183.4,465722.0,507852.6,476474.4,877798.3,478466.7
wlp14,Iterations,-,1,15,16,14,13

wlp15,Best Cost,502617.0,531724,619100.0,557845.0,1010109.0,553356.0
wlp15,Avg Cost,504380.3,531724.0,620985.0,566246.4,1015748.2,561964.3
wlp15,Iterations,-,1,11,12,12,12

wlp16,Best Cost,580481.0,614800,692276.0,644699.0,1131978.0,642807.0
wlp16,Avg Cost,581807.7,614800.0,693403.8888888889,651858.1,1136630.6,650088.6
wlp16,Iterations,-,1,9,10,10,10

wlp17,Best Cost,616041.0,648885,681913.0,657032.0,1243722.0,654249.0
wlp17,Avg Cost,617354.1,648885.0,683494.75,660851.125,1246709.4444444445,657976.1111111111
wlp17,Iterations,-,1,8,8,9,9

wlp18,Best Cost,683724.0,725353,767413.0,733052.0,1433621.0,734954.0
wlp18,Avg Cost,686295.7,725353.0,768856.4,739351.2857142857,1443206.7142857143,738420.2
wlp18,Iterations,-,1,5,7,7,5

